Latitude,Longitude,Altitude,Mac1,Signal1,Mac2,Signal2,Mac3,Signal3,Mac4,Signal4,Mac5,Signal5,Mac6,Signal6,Mac7,Signal7,Mac8,Signal8,Mac9,Signal9,Mac10,Signal10
-1,-1,-1,34:8f:27:20:89:b8,-43,34:8f:27:20:89:b8,-44,34:8f:27:20:89:b8,-47,34:8f:27:20:89:b8,-48,34:8f:27:20:89:bc,-48,34:8f:27:20:89:b8,-49,34:8f:27:20:89:b8,-51,34:8f:27:20:89:bc,-53,34:8f:27:20:89:bc,-53,34:8f:27:a0:89:b7,-53
32.09824569,35.20442041,699.6501697,30:e1:71:0d:e0:67,-56,30:e1:71:0d:e0:67,-56,30:e1:71:0d:e0:67,-58,30:e1:71:0d:e0:67,-58,30:e1:71:0d:e0:67,-59,30:e1:71:0d:e0:67,-60,30:e1:71:0d:e0:67,-63,24:79:2a:2b:07:b8,-63,30:e1:71:0d:e0:67,-64,24:79:2a:2c:5c:18,-64
32.09848375,35.20462564,702.160037,30:e1:71:0d:e0:67,-54,30:e1:71:0d:e0:67,-54,30:e1:71:0d:e0:67,-58,30:e1:71:0d:e0:67,-58,30:e1:71:0d:e0:67,-58,30:e1:71:0d:e0:67,-59,30:e1:71:0d:e0:67,-60,24:79:2a:2b:07:b8,-61,30:e1:71:0d:e0:67,-61,24:79:2a:2b:07:b8,-61
-1,-1,-1,30:e1:71:0d:e0:67,-62,30:e1:71:0d:e0:67,-62,30:e1:71:0d:e0:67,-63,30:e1:71:0d:e0:67,-64,30:e1:71:0d:e0:67,-64,30:e1:71:0d:e0:67,-65,30:e1:71:0d:e0:67,-65,30:e1:71:0d:e0:67,-65,30:e1:71:0d:e0:67,-66,30:e1:71:0d:e0:67,-66
32.10370507,35.21029201,704.7374235,24:79:2a:2b:07:b8,-57,24:79:2a:2b:07:bc,-57,24:79:2a:2b:07:b8,-58,24:79:2a:2b:07:bc,-58,24:79:2a:2b:07:b8,-59,24:79:2a:2b:07:bc,-59,30:e1:71:0d:e0:67,-60,24:79:2a:2b:07:b8,-60,24:79:2a:2b:07:b8,-60,24:79:2a:2b:07:b8,-61
32.10393478,35.2101456,703.8106542,24:79:2a:2c:5b:d8,-71,24:79:2a:ab:07:b7,-75,,,,,,,,,,,,,,,,
-1,-1,-1,1c:b9:c4:15:ed:b8,-92,,,,,,,,,,,,,,,,,,
32.10368273,35.21014122,710.7166111,3c:52:82:ef:a4:8b,-60,24:79:2a:2b:07:bc,-63,24:79:2a:ab:07:b7,-67,,,,,,,,,,,,,,
32.10257193,35.20909748,702.2468883,24:79:2a:2b:07:b8,-64,30:e1:71:0d:e0:67,-82,,,,,,,,,,,,,,,,
32.10198498,35.20830422,710.7456497,24:79:2a:ab:07:b7,-61,0a:27:22:f3:bb:2b,-89,,,,,,,,,,,,,,,,
32.10393489,35.21058834,702.2758435,24:79:2a:2b:07:b8,-57,,,,,,,,,,,,,,,,,,
32.10369861,35.21017541,710.7485234,24:79:2a:2b:07:bc,-58,,,,,,,,,,,,,,,,,,
32.10363048,35.21005058,710.6278805,3c:52:82:ef:a4:8b,-50,,,,,,,,,,,,,,,,,,
-1,-1,-1,34:8f:27:a0:89:b7,-54,,,,,,,,,,,,,,,,,,
32.1027177,35.20922299,704.9407051,34:8f:27:20:89:b8,-50,34:8f:27:20:89:bc,-53,34:8f:27:a0:89:b7,-54,24:79:2a:2b:07:bc,-73,30:e1:71:0d:e0:67,-73,24:79:2a:2b:07:b8,-74,24:79:2a:ab:07:b7,-75,3c:52:82:ef:a4:8b,-78,24:79:2a:2c:5c:18,-86,1c:b9:c4:16:06:bc,-88
-1,-1,-1,24:79:2a:2b:02:78,-89,,,,,,,,,,,,,,,,,,
32.10280513,35.20921144,706.8887939,34:8f:27:20:89:b8,-44,24:79:2a:ac:5c:17,-89,1c:b9:c4:16:06:b8,-89,,,,,,,,,,,,,,
32.10435895,35.20976125,686.3071861,1c:b9:c4:16:05:38,-89,,,,,,,,,,,,,,,,,,
-1,-1,-1,34:8f:27:20:89:b8,-39,b2:6c:ac:9f:fb:1f,-89,90:6c:ac:9f:fb:1f,-91,,,,,,,,,,,,,,
32.10385319,35.21045901,704.7986823,24:79:2a:2b:07:b8,-67,24:79:2a:2b:07:bc,-68,24:79:2a:ab:07:b7,-69,24:79:2a:2c:5c:18,-81,,,,,,,,,,,,
32.10233917,35.20835634,700.5748256,30:e1:71:0d:e0:67,-55,24:79:2a:2c:5c:18,-67,24:79:2a:2c:5c:1c,-68,24:79:2a:2b:02:78,-72,24:79:2a:ac:5c:17,-72,b2:6c:ac:9f:f1:c5,-85,a2:6c:ac:a0:3d:eb,-86,90:6c:ac:a0:3d:eb,-89,,,,
32.10226104,35.20869595,705.9217548,30:e1:71:0d:e0:67,-61,24:79:2a:2b:07:b8,-64,24:79:2a:2c:5c:18,-64,24:79:2a:ab:07:b7,-66,24:79:2a:2b:02:78,-68,24:79:2a:2b:07:bc,-70,c4:12:f5:fd:6a:74,-71,24:79:2a:2c:5c:1c,-72,24:79:2a:ab:02:77,-76,24:79:2a:2b:02:7c,-78
32.10249694,35.20772457,686.2685272,30:e1:71:0d:e0:67,-55,1c:b9:c4:16:05:38,-91,,,,,,,,,,,,,,,,
