Latitude,Longitude,Altitude,Mac
32.10412094,35.20909272,685,b2:6c:ac:9f:f1:c5
32.10406321,35.20902709,685,b2:6c:ac:a0:7b:4d
32.10423611,35.21138319,700,1c:b9:c4:95:41:77
32.103838,35.21000471,698.6908557,1c:b9:c4:15:fd:48
32.10293021,35.20969478,707.5519128,3c:52:82:ef:c4:3c
32.10340998,35.20969477,704.4103268,1c:b9:c4:16:e5:a8
32.10295801,35.20967774,707.8478869,1c:b9:c4:95:ec:37
32.10412387,35.21091349,700,8c:0c:90:2f:d3:d8
32.10270218,35.20982755,710.1110187,1c:b9:c4:14:2c:3c
32.1028505,35.20887728,686.3118177,1c:b9:c4:16:f4:78
32.10299287,35.20872474,686.1497894,8c:0c:90:2d:75:e8
32.10443396,35.21083207,694.7803059,1c:b9:c4:15:41:78
32.10305306,35.20978446,693,1c:b9:c4:15:ec:38
32.10385601,35.2090937,687,1c:b9:c4:16:1d:78
32.10296049,35.20969913,702.14288,1c:b9:c4:16:ed:3c
32.10238085,35.21000654,712.1937427,1c:b9:c4:15:1e:6c
32.10481492,35.2114539,695,1c:b9:c4:15:fd:e8
32.10475343,35.21007474,689,00:1a:dd:f5:df:c5
32.10406321,35.20902709,685,b2:6c:ac:a0:3d:eb
32.10275183,35.20948898,696.4616326,1c:b9:c4:16:ee:98
32.10326981,35.20978049,710.8779586,1c:b9:c4:96:f4:77
32.10295457,35.2088043,686,1c:b9:c4:12:7c:c8
32.1026849,35.20979542,707.8280473,1c:b9:c4:96:11:a7
32.10371892,35.21036013,697.529939,1c:b9:c4:16:ed:48
32.10353904,35.20994639,710.4770499,1c:b9:c4:95:fd:47
32.1037249,35.21020742,710.7830608,24:79:2a:2c:5c:1c
32.10475993,35.21030941,687.2863072,1c:b9:c4:16:2d:e8
32.10250578,35.20955531,690.8556103,1c:b9:c4:15:1e:68
32.10342274,35.2097119,704.2450229,1c:b9:c4:96:ed:47
32.10275085,35.20975956,707.6527665,1c:b9:c4:96:ee:97
32.10440239,35.20946023,687,a2:6c:ac:a0:18:29
32.10298498,35.20966477,704.8276915,1c:b9:c4:12:af:7c
32.10337662,35.20995868,698.3196085,1c:b9:c4:14:2b:88
32.10342274,35.2097119,704.2450229,1c:b9:c4:95:ed:b7
32.1038101,35.21028362,710.9061261,1c:b9:c4:96:e5:a7
32.10307379,35.208807,686.9664073,ec:8c:a2:08:94:18
32.10315652,35.20952905,690.8082143,1c:b9:c4:12:90:b8
32.10337114,35.20971025,704.1006958,1c:b9:c4:94:2b:87
32.10370923,35.20946174,698.1977167,1c:b9:c4:16:1d:7c
32.10384104,35.20901946,684.6488641,ec:8c:a2:26:d3:68
32.10358508,35.2103962,699.1933278,1c:b9:c4:16:06:bc
32.10369861,35.21017541,710.7485234,24:79:2a:2b:07:bc
32.10466627,35.20990936,687,a2:6c:ac:a0:60:4d
32.10484982,35.21104923,693.9879864,1c:b9:c4:14:2b:c8
32.10393489,35.21058834,702.2758435,24:79:2a:2b:07:b8
